created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num,commit_id
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,6,13,2012-09-01T20:31:40Z,993,madanadit,11,6,5,1,1,e2110b5a6672c889b149b8d276f4374842709ba2
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,2,3,2017-06-09T17:41:25Z,242,bf8086,363,293,70,12,1,6f02b41ea529b9f59c0c42de216f402b3b4c9882
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,28,21,2017-01-22T00:40:07Z,317,LuQQiu,3289,3113,176,34,1,6eaf93782e383bc2d7070ee63625a7b011b41018
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,24,6,2010-10-06T03:49:31Z,1753,gpang,57,55,2,1,1,55bb1519b187c030667172a5df950518009aeec1
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,2,3,2017-06-09T17:41:25Z,242,bf8086,64,51,13,2,1,b9ce5f75cd1024a7c9fad2d0c061a5d23dcb4891
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,10,20,2011-04-18T09:06:03Z,262,yuzhu,1086,517,569,14,1,d6c983d4e36eb56ea24f0eb5dbe88ecb9665357c
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,115,24,91,3,1,61d8f890b37a3b6202425cb565020f847c305bee
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,52,42,10,1,1,ebd547c0bfb0f08399fcd1204e68b1953e4a0767
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,47,49,2016-02-19T05:24:20Z,224,maobaolong,60,44,16,3,1,5ab5bcb6422a5f07ca1c935ad70027bdaec6a81d
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,6182,3226,2956,30,2,eecd7c313220e5d7f5ccc6d1dc1a5595b9c6f238
